;UG;LOC;DA;TI;TF;TM
443;Rio de Janeiro;Rural;Privada;11,5;16,3;20,0
444;Rio de Janeiro;Total;Pública;17,9;26,1;28,2
445;Rio de Janeiro;Urbana;Pública;18,3;26,8;28,5
446;Rio de Janeiro;Rural;Pública;13,8;18,5;22,5
447;São Paulo;Total;Total;14,9;25,1;30,5
448;São Paulo;Urbana;Total;14,9;25,3;30,6
449;São Paulo;Rural;Total;14,6;19,2;23,6
450;São Paulo;Total;Federal;13,7;26,5;38,8
451;São Paulo;Urbana;Federal;16,0;26,5;38,8
452;São Paulo;Rural;Federal;9,3;0,0;0,0
453;São Paulo;Total;Estadual;6,7;30,1;31,5
454;São Paulo;Urbana;Estadual;8,1;30,3;31,7
455;São Paulo;Rural;Estadual;3,5;20,5;23,4
456;São Paulo;Total;Municipal;18,3;25,2;28,7
457;São Paulo;Urbana;Municipal;18,4;25,4;28,7
458;São Paulo;Rural;Municipal;15,0;18,2;26,4
459;São Paulo;Total;Privada;11,2;19,8;26,3
460;São Paulo;Urbana;Privada;11,2;19,8;26,3
461;São Paulo;Rural;Privada;14,3;22,9;27,8
462;São Paulo;Total;Pública;18,3;27,1;31,5
463;São Paulo;Urbana;Pública;18,4;27,4;31,7
464;São Paulo;Rural;Pública;14,7;18,9;23,4
465;Paraná;Total;Total;15,2;23,1;27,6
466;Paraná;Urbana;Total;15,2;23,8;28,2
467;Paraná;Rural;Total;13,4;15,1;18,1
468;Paraná;Total;Federal;0,0;29,3;28,4
469;Paraná;Urbana;Federal;0,0;29,3;28,4
470;Paraná;Rural;Federal;0,0;0,0;28,3
471;Paraná;Total;Estadual;9,1;26,6;27,1
472;Paraná;Urbana;Estadual;11,1;27,8;27,8
473;Paraná;Rural;Estadual;8,8;15,5;18,0
474;Paraná;Total;Municipal;16,3;22,0;0,0
475;Paraná;Urbana;Municipal;16,5;22,8;0,0
476;Paraná;Rural;Municipal;13,7;14,8;0,0
477;Paraná;Total;Privada;12,0;19,6;30,8
478;Paraná;Urbana;Privada;12,0;19,6;31,0
479;Paraná;Rural;Privada;10,3;17,9;18,6
480;Paraná;Total;Pública;16,3;23,8;27,1
481;Paraná;Urbana;Pública;16,5;24,8;27,8
482;Paraná;Rural;Pública;13,5;15,1;18,1
483;Santa Catarina;Total;Total;13,2;22,8;26,3
484;Santa Catarina;Urbana;Total;13,2;23,7;26,6
485;Santa Catarina;Rural;Total;12,9;15,5;19,1
486;Santa Catarina;Total;Federal;10,3;24,0;28,1
487;Santa Catarina;Urbana;Federal;10,3;24,0;28,0
488;Santa Catarina;Rural;Federal;0,0;0,0;29,1
489;Santa Catarina;Total;Estadual;18,3;23,6;25,8
490;Santa Catarina;Urbana;Estadual;18,3;24,7;26,1
491;Santa Catarina;Rural;Estadual;0,0;14,7;17,5
